start,end,today,diviceid,titre_entretien,admin1_enquete,admin2_enquete,admin3_enquete,localite_enquete_realise,admin1_localite,admin2_localite,admin3_localite,nom_localite_renseigne,autre,source_info,statut_deplacement_informateur,source_info_localite,source_info_localite_autre,moyen_communication_contact,moyen_communication_contact_autre,info_dernier_mois,Maintenant_nous_allo_personnes_deplac_es,large_deplacement_population,date_deplacement,raison_deplacement,raison_deplacement_autre,idp_site,idp_famille_accueil,proportion_deplaces,date_dernier_idp,provenance_dernier_idp,provenance_dernier_idp_prefecture,provenance_dernier_idp_sous_prefecture,raison_presence,raison_presence_autre,condition_retour,condition_retour_autre,Maintenant_nous_allo_personnes_retourn_es,retourne_dernier_mois,date_retour,provenance_dernier_retourne,provenance_dernier_retourne_prefecture,provenance_dernier_retourne_sous_prefecture,Maintenant_nous_allo_ns_sur_les_rapatri_s,presence_rapatries,date_retour_rapatries,provenance_rapatries,provenance_rapatries_pays,provenance_dernier_rapaties_autre,raison_rapatriement,raison_rapatriement_autre,Maintenant_nous_allo_s_curit_alimentaire,acces_nourriture,raison_inaccessible,raison_inacessible_autre,strategie_adaptation,strategie_adaptation/aliment_moins_chers,strategie_adaptation/diminution_quantites,strategie_adaptation/emprunter_argent_nourriture,strategie_adaptation/restrictions_adultes,strategie_adaptation/diminution_nb_repas,strategie_adaptation/privation,strategie_adaptation/rien,strategie_adaptation/autre,strategie_adaptation/nsp,strategie_adaptation_autre,strategie_survie,strategie_survie/strategie_survie_1,strategie_survie/strategie_survie_2,strategie_survie/strategie_survie_3,strategie_survie/strategie_survie_4,strategie_survie/strategie_survie_6,strategie_survie/strategie_survie_7,strategie_survie/strategie_survie_8,strategie_survie/strategie_survie_9,strategie_survie/strategie_survie_10,strategie_survie/strategie_survie_11,strategie_survie/strategie_survie_autre,strategie_survie/strategie_survie_nsp_nspr,strategie_survie_autre,marche_fonctionnel,marche_fonctionnel_acces,marche_fonctionnel_prix,assistance_alimentaire,Maintenant_nous_allo_ion_sur_la_nutrition,malnutri_moins_cinq_ans,malnutri_plus_cinq_ans,acces_centre_prise_en_charge_malnutri,programme_alimentaire_article_nutritionnel,Maintenant_nous_allo_s_moyens_d_existence,depense_alimentation,source_revenu,source_revenu_autre,revenu_moyen,acces_terre,barriere_agriculture,barriere_agriculture_autre,possession_betail,type_betail,epidemie_betail,assistance_agricole,Maintenant_nous_all_uestions_sur_la_sant,pb_sante_moins_cinq_ans,pb_sante_moins_cinq_ans_autre,pb_sante_plus_cinq_ans,pb_sante_plus_cinq_ans_autre,cause_deces,cause_deces_autre,comparaison_deces,lieu_accouchement,lieu_accouchement_autre,raison_accouchement_maison,service_sante_distance_marche,lieu_soin_choisi,lieu_soin_choisi_autre,service_sante_duree_marche,service_sante_acces,service_sante_barriere,service_sante_barriere_autre,assistance_service_sante,Mainteneant_nous_all_ns_sur_la_protection,incident_mort,incident_pillage,sentiment_securite,risque_protection_fille,risque_protection_fille_autre,risque_protection_garcon,risque_protection_garcon_autre,risque_protection_femme,risque_protection_femme_autre,risque_protection_homme,risque_protection_homme_autre,mineurs_separes,mineurs_separes_raison,mineurs_separes_raison_autre,relation_idp_hote,assistance_protection,assistance_protection_autre,programme_protection_assistance,Maintenant_nous_allo_les_NFI_et_les_abris,type_abris_hote,type_abris_hote_autre,type_abris_refugie_idp,type_abris_refugie_idp_autre,type_abris_retourne_rapatrie,type_abris_retourne_rapatrie_autre,materiaux_dispo,paille,tole,bache,corde,bois,brique_cuite,brique_non_cuite,fer,ciment,nfi,couverture,seau,bidon,kit_cuisine,moustiquaire,couchage,bache_001,habit,savon,programme_assistance_abris_nfi,Maintenant_nous_allo_ns_relatives_l_eau,source_eau_boire,source_eau_boire_autre,source_eau_usage,source_eau_usage_autre,source_eau_temp,source_eau_saison_seche,acces_eau,acces_eau_barriere,acces_eau_barriere_autre,Maintenant_nous_allo_au_lavage_des_mains,infra_sanitaire_utilise,infra_sanitaire_utilise_autre,dispositif_lavage_main,programme_assistance_eha,Maintenant_nous_allo_tions_sur_l_ducation,service_education_fonctionnel,service_education_indispo,service_education_indispo_autre,participation_fille,participation_garcon,participation_fille_ado,participation_garcon_ado,acces_education_barriere,acces_education_barriere_autre,programme_assistance_education,Maintenant_nous_allo_ismes_de_redevabilit,source_info_confiance,source_info_confiance_autre,radio_fonctionnelle,reseau_tel_fonctionnel,besoins_prioritaires,priorite_un,priorite_deux,priorite_trois,Maintenant_nous_allo_n_de_notre_entretien,ki_zone,ki_zone_contact,participation_focus_group,final_enquete,gpslocation,_gpslocation_latitude,_gpslocation_longitude,_gpslocation_altitude,_gpslocation_precision,_id,_uuid,_submission_time,_validation_status,_index
2019-11-20T15:27:14.221+01,2019-11-20T16:07:23.576+01,11/20/2019,3.56676E+14,,vakaga,birao,ridina,Takamala,vakaga,birao,ridina,takamala,,evaluation_presentielle,idp,rencontre_localite,,,,oui,,oui,3_dernier_mois,conflits_communautaire,,oui,oui,majorite,dernier_mois,oui,vakaga,birao,conflits_communautaire,,securite,,,oui,dernier_mois,oui,vakaga,birao,,non,,,,,assistance_humanitaire,,,non,secu,,diminution_quantites,0,1,0,0,0,0,0,0,0,,strategie_survie_1,1,0,0,0,0,0,0,0,0,0,0,0,,non,,,non,,oui,non,non,non,,majorite,peche_chasse,,dix_trente,non,insecurite,,oui,petit,non,non,,palu,,palu,,conflit_arme,,non,poste_sante,,,non,,,,insuffisant,medicament_indispo,,non,,oui,non,non,violence_sexuelle,,recrutement_force,,violence_sexuelle,,recrutement_force,,oui,engagement_arme,,bonne,autorite_locale,,non,,aucun,,habitat_long_terme,,aucun,,,non,non,non,non,non,non,non,non,non,,non,non,non,non,non,non,non,non,non,non,,puit_protege,,puit_protege,,inf_cinq_min,non,pas_suffisant,attente_nb_insuffisant,,,defecation_air_libre,,non,non,,oui,,,presque_aucun,moins_moitie,presque_aucun,moins_moitie,retard_accumule,,non,,chef_communaute,,non,non,,sante,eha,nutrition,,oui,Selemane,oui,,,,,,,75531052,e76fa492-d4f7-4900-aeca-0a02a95c46f1,2019-11-24T16:37:14,,61
2019-11-21T08:41:49.363+01,2019-11-21T09:34:10.601+01,11/21/2019,3.56676E+14,,vakaga,birao,ridina,Birao,vakaga,birao,ridina,toumou,,evaluation_presentielle,idp,rencontre_localite,,,,oui,,oui,dernier_mois,conflits_communautaire,,non,oui,majorite,dernier_mois,oui,vakaga,birao,conflits_communautaire,,securite,,,non,,,,,,non,,,,,,,,non,secu,,aliment_moins_chers,1,0,0,0,0,0,0,0,0,,strategie_survie_1,1,0,0,0,0,0,0,0,0,0,0,0,,non,,,non,,oui,oui,non,non,,majorite,peche_chasse,,dix_trente,oui,,,oui,petit,oui,non,,palu,,palu,,conflit_arme,,non,hopital,,,non,,,,insuffisant,medicament_indispo,,non,,non,non,non,violence_sexuelle,,recrutement_force,,violence_sexuelle,,recrutement_force,,oui,engagement_arme,,neutre,admin_legale,,oui,,habitat_long_terme,,aucun,,aucun,,,oui,non,non,non,non,non,oui,non,non,,oui,oui,oui,oui,non,oui,non,non,oui,non,,puit_non_protege,,puit_non_protege,,sup_trente_min,non,pas_suffisant,qualite_eau,,,defecation_air_libre,,non,non,,oui,,,presque_aucun,moins_moitie,aucun,presque_aucun,finances,,non,,autre,Voyageurs,non,oui,,eha,secal,sante,,oui,Yacoub 72000000,oui,,,,,,,75531074,d11a3edd-82c0-4ab1-b24d-baf08a5364c1,2019-11-24T16:37:32,,62
2019-11-22T08:39:20.530+01,2019-11-22T09:13:11.348+01,11/22/2019,3.56676E+14,,vakaga,birao,ridina,Birao,vakaga,birao,ridina,bachama mouroye,,evaluation_ki,idp,rencontre_localite,,,,oui,,oui,3_dernier_mois,conflits_communautaire,,non,non,,,,,,,,,,,non,,,,,,non,,,,,,,,non,secu,,aliment_moins_chers,1,0,0,0,0,0,0,0,0,,strategie_survie_1,1,0,0,0,0,0,0,0,0,0,0,0,,non,,,non,,non,non,non,non,,majorite,elevage,,dix_trente,non,insecurite,,oui,petit,oui,non,,palu,,palu,,conflit_arme,,non,maison,,autre,non,,,,pas_suffisant,existence_infra,,non,,non,oui,non,pillage_criminalite,,aucun,,aucun,,vol_betail,,non,,,,autorite_locale,,non,,habitat_long_terme,,aucun,,aucun,,,oui,non,non,non,non,non,oui,non,non,,non,non,non,oui,oui,non,non,non,oui,non,,puit_non_protege,,puit_non_protege,,inf_trente_min,non,pas_suffisant,attente_nb_insuffisant,,,latrine_non_acceptable,,non,non,,non,existence_infra_scolaire,,presque_aucun,moins_moitie,presque_aucun,moins_moitie,mouvement_recent,,non,,chef_communaute,,non,oui,,eha,education,secal,,oui,Hahamat Jarama ,oui,,,,,,,75531089,8a8ae886-e6a9-4d1b-b484-d13078601c15,2019-11-24T16:37:53,,63
2019-11-22T09:17:25.289+01,2019-11-22T09:50:33.702+01,11/22/2019,3.56676E+14,,vakaga,birao,ridina,Birao,vakaga,birao,ridina,autre,Gossallé,evaluation_ki,idp,visite_localite,,,,oui,,oui,dernier_mois,conflits_communautaire,,non,non,,,,,,,,,,,oui,dernier_mois,oui,vakaga,birao,,oui,dernier_mois,oui,soudan,,assistance_humanitaire,,,non,destruction_combat,,aliment_moins_chers,1,0,0,0,0,0,0,0,0,,strategie_survie_1,1,0,0,0,0,0,0,0,0,0,0,0,,non,,,non,,non,non,non,non,,majorite,elevage,,dix_trente,oui,,,oui,petit,non,non,,palu,,palu,,maladie,,non,hopital,,,oui,hopital,,demie_journee,insuffisant,existence_infra,,non,,non,oui,non,violence_sexuelle,,recrutement_force,,violence_sexuelle,,recrutement_force,,non,,,bonne,autorite_locale,,non,,habitat_long_terme,,aucun,,aucun,,,non,non,non,non,non,non,oui,non,non,,non,non,non,non,non,non,non,non,oui,non,,puit_non_protege,,puit_non_protege,,inf_quinze_min,non,insuffisant,attente_nb_insuffisant,,,defecation_air_libre,,non,non,,non,autre,Pas d'infrastructures scolaire,presque_aucun,plus_moitie,presque_aucun,moins_moitie,mouvement_recent,,non,,chef_communaute,,non,oui,,eha,secal,education,,non,,oui,,,,,,,75531101,e7229453-5d4e-4bed-a31d-c4946275ed06,2019-11-24T16:38:19,,64
2019-11-22T10:14:49.309+01,2019-11-22T10:38:22.034+01,11/22/2019,3.56676E+14,,vakaga,birao,ridina,Birao,vakaga,birao,ridina,kaffao,,evaluation_ki,idp,rencontre_localite,,,,oui,,oui,dernier_mois,conflits_communautaire,,non,non,,,,,,,,,,,oui,dernier_mois,oui,vakaga,birao,,non,,,,,famille,,,non,destruction_combat,,aliment_moins_chers,1,0,0,0,0,0,0,0,0,,strategie_survie_1,1,0,0,0,0,0,0,0,0,0,0,0,,non,,,non,,oui,oui,non,non,,majorite,peche_chasse,,dix_trente,non,insecurite,,oui,petit,oui,non,,palu,,palu,,conflit_arme,,non,maison,,autre,non,,,,pas_suffisant,existence_infra,,non,,non,oui,non,violence_sexuelle,,recrutement_force,,aucun,,recrutement_force,,oui,avec_autre_famille,,bonne,autorite_locale,,non,,habitat_long_terme,,aucun,,aucun,,,oui,non,non,non,non,non,oui,non,non,,non,non,non,non,non,non,non,oui,oui,non,,puit_non_protege,,puit_non_protege,,inf_trente_min,non,pas_suffisant,attente_nb_insuffisant,,,latrine_non_acceptable,,non,non,,oui,,,moins_moitie,plus_moitie,moins_moitie,plus_moitie,enregistrement_impossible,,non,,chef_communaute,,non,oui,,eha,education,secal,,oui,Ibrahim Mahamat,oui,,,,,,,75531111,4aa7c99e-1934-460e-8c71-4b0efc0747d9,2019-11-24T16:38:41,,65
2019-11-22T10:41:28.253+01,2019-11-22T11:05:57.792+01,11/22/2019,3.56676E+14,,vakaga,birao,ridina,Birao,vakaga,birao,ridina,kaffao,,evaluation_ki,idp,habite_localite,,,,oui,,non,,,,non,non,,,,,,,,,,,oui,dernier_mois,oui,vakaga,birao,,oui,plus_de_un_an,oui,soudan,,assistance_humanitaire,,,non,destruction_combat,,aliment_moins_chers,1,0,0,0,0,0,0,0,0,,strategie_survie_1,1,0,0,0,0,0,0,0,0,0,0,0,,oui,non,oui,non,,non,non,non,non,,majorite,elevage,,dix_trente,non,insecurite,,oui,petit,non,non,,palu,,palu,,maladie,,non,maison,,autre,non,,,,pas_suffisant,existence_infra,,non,,non,oui,non,violence_sexuelle,,recrutement_force,,aucun,,recrutement_force,,oui,avec_autre_famille,,bonne,autorite_locale,,non,,aucun,,aucun,,aucun,,,oui,non,non,non,non,non,oui,non,non,,non,non,non,non,non,non,non,non,non,non,,puit_non_protege,,puit_non_protege,,inf_trente_min,non,pas_suffisant,attente_nb_insuffisant,,,latrine_non_acceptable,,non,non,,oui,,,moins_moitie,plus_moitie,moins_moitie,presque_aucun,enregistrement_impossible,,non,,chef_communaute,,non,oui,,eha,education,sante,,non,,oui,,,,,,,75531132,a711ecbf-74b7-4fa7-8efd-15ddc1c47899,2019-11-24T16:39:06,,66
2019-11-22T11:08:44.471+01,2019-11-22T12:05:34.792+01,11/22/2019,3.56676E+14,,vakaga,birao,ridina,Birao,vakaga,birao,ridina,Bachama_2,,evaluation_ki,idp,habite_localite,,,,oui,,non,,,,non,non,,,,,,,,,,,non,,,,,,non,,,,,,,,non,destruction_inondation,,diminution_quantites,0,1,0,0,0,0,0,0,0,,strategie_survie_3,0,0,1,0,0,0,0,0,0,0,0,0,,oui,non,oui,non,,non,non,non,non,,majorite,agriculture,,inf_dix,oui,,,oui,petit,non,non,,palu,,palu,,maladie,,non,maison,,autre,oui,hopital,,inf_demie_journee,pas_suffisant,existence_infra,,non,,non,non,non,violence_sexuelle,,violence_sexuelle,,aucun,,aucun,,non,,,,autorite_locale,,non,,aucun,,aucun,,aucun,,,oui,non,non,non,non,non,oui,non,non,,non,non,non,non,non,non,non,non,oui,non,,puit_non_protege,,puit_non_protege,,sup_trente_min,oui,insuffisant,insuffisance_recipient,,,defecation_air_libre,,non,non,,non,existence_infra_scolaire,,presque_aucun,moins_moitie,presque_aucun,moins_moitie,autre,Ia distance est trop longue,non,,chef_communaute,,oui,oui,,sante,eha,secal,,oui,Mahamat Oumour,oui,,,,,,,75531144,d42078eb-a876-4ee3-819c-08feb063b28f,2019-11-24T16:39:31,,67
2019-11-22T12:46:07.329+01,2019-11-22T14:38:38.507+01,11/22/2019,3.56676E+14,,vakaga,birao,ridina,Birao,vakaga,birao,ridina,boura,,evaluation_ki,idp,habite_localite,,,,oui,,oui,dernier_mois,conflits_communautaire,,non,non,,,,,,,,,,,oui,dernier_mois,oui,vakaga,birao,,non,,,,,meilleure_secu,,,non,secu,,aliment_moins_chers,1,0,0,0,0,0,0,0,0,,strategie_survie_1,1,0,0,0,0,0,0,0,0,0,0,0,,non,,,non,,non,non,non,non,,majorite,elevage,,dix_trente,non,insecurite,,oui,petit,oui,non,,palu,,palu,,conflit_arme,,non,hopital,,,non,,,,insuffisant,existence_infra,,non,,non,oui,non,violence_sexuelle,,recrutement_force,,violence_sexuelle,,recrutement_force,,oui,perdu_pendant_deplacement,,bonne,autorite_locale,,non,,aucun,,aucun,,aucun,,,oui,non,non,non,non,non,oui,non,non,,non,non,non,non,non,non,non,non,oui,non,,puit_non_protege,,puit_non_protege,,inf_trente_min,non,pas_suffisant,attente_nb_insuffisant,,,defecation_air_libre,,non,non,,non,existence_infra_scolaire,,presque_aucun,presque_aucun,presque_aucun,presque_aucun,mouvement_recent,,non,,chef_communaute,,non,non,,secal,eha,education,,oui,Babala Issene,oui,,,,,,,75531148,d5f61989-f5fb-4b4c-965a-1c7660650982,2019-11-24T16:39:39,,68
2019-11-22T14:39:30.516+01,2019-11-22T15:08:05.209+01,11/22/2019,3.56676E+14,,vakaga,birao,ridina,Birao,vakaga,birao,ridina,boura,,evaluation_ki,idp,habite_localite,,,,oui,,oui,dernier_mois,conflits_communautaire,,non,non,,,,,,,,,,,oui,dernier_mois,oui,vakaga,birao,,non,,,,,nsp,,,non,destruction_combat,,aliment_moins_chers,1,0,0,0,0,0,0,0,0,,strategie_survie_1,1,0,0,0,0,0,0,0,0,0,0,0,,non,,,non,,non,non,non,non,,majorite,elevage,,inf_dix,non,insecurite,,non,,,non,,palu,,palu,,maladie,,non,maison,,autre,non,,,,pas_suffisant,existence_infra,,non,,oui,oui,non,aucun,,recrutement_force,,aucun,,recrutement_force,,non,,,nsp,autorite_locale,,non,,aucun,,aucun,,aucun,,,non,non,non,non,non,non,non,non,non,,non,oui,non,non,non,non,non,non,oui,non,,puit_non_protege,,puit_non_protege,,inf_quinze_min,non,pas_suffisant,attente_nb_insuffisant,,,latrine_non_acceptable,,non,non,,non,existence_infra_scolaire,,plus_moitie,presque_aucun,moins_moitie,moins_moitie,mouvement_recent,,non,,chef_communaute,,non,non,,education,eha,sante,,non,,non,,,,,,,75531152,c2af73fc-9740-46ee-b30a-0aa487f6d3fe,2019-11-24T16:39:47,,69
2019-11-20T11:05:07.898+01,2019-11-24T17:50:29.281+01,11/20/2019,3.56676E+14,,vakaga,birao,ridina,Tissi,vakaga,birao,ridina,tissi_1,,evaluation_ki,refugie,rencontre_localite,,,,oui,,oui,dernier_mois,conflits_communautaire,,non,oui,majorite,dernier_mois,oui,vakaga,birao,conflits_communautaire,,securite,,,oui,dernier_mois,oui,bamingui_bangoran,ndele,,oui,3_dernier_mois,oui,soudan,,assistance_humanitaire,,,oui,,,diminution_quantites emprunter_argent_nourriture,0,1,1,0,0,0,0,0,0,,strategie_survie_1 strategie_survie_2,1,1,0,0,0,0,0,0,0,0,0,0,,non,,,oui,,oui,oui,non,non,,moitie,elevage,,inf_dix,non,insecurite,,oui,petit,oui,oui,,palu,,infection_respi,,conflit_arme,,non,maison,,maternite_non_fonctionnelle,oui,poste_sante,,demie_journee,insuffisant,medicament_indispo,,non,,oui,oui,non,violence_sexuelle,,recrutement_force,,violence_sexuelle,,recrutement_force,,oui,engagement_arme,,bonne,autorite_locale,,non,,aucun,,aucun,,aucun,,,non,non,non,non,non,non,non,non,non,,non,non,non,non,non,non,non,non,non,non,,source_non_amenagee,,source_non_amenagee,,inf_trente_min,oui,pas_suffisant,attente_nb_insuffisant,,,defecation_air_libre_zone_precis,,non,non,,non,existence_infra_scolaire,,presque_aucun,presque_aucun,presque_aucun,presque_aucun,enregistrement_impossible,,non,,chef_religieux,,non,non,,sante,secal,eha,,oui,Xx,non,,,,,,,75532758,cc5a396a-14ec-4cf3-9003-f68ef20442a0,2019-11-24T17:01:08,,70
2019-11-20T14:35:49.748+01,2019-11-24T17:58:33.127+01,11/20/2019,3.56676E+14,,vakaga,birao,ouandja,Tiringoulou,vakaga,birao,ouandja,tiringoulou,,evaluation_ki,idp,contact_dans_localite,,telephone,,oui,,oui,dernier_mois,conflits_communautaire,,non,non,,,,,,,,,,,oui,dernier_mois,oui,vakaga,birao,,non,,,,,qualite_vie,,,non,destruction_inondation,,aliment_moins_chers restrictions_adultes,1,0,0,1,0,0,0,0,0,,strategie_survie_2,0,1,0,0,0,0,0,0,0,0,0,0,,non,,,non,,non,non,non,non,,majorite,elevage,,inf_dix,oui,,,oui,petit,non,non,,palu,,infection_respi,,conflit_arme,,non,poste_sante,,,non,,,,insuffisant,medicament_indispo,,non,,non,non,non,violence_sexuelle,,recrutement_force,,violence_sexuelle,,pillage_criminalite,,oui,engagement_arme,,bonne,autorite_locale,,non,,aucun,,aucun,,aucun,,,non,non,non,non,non,non,non,non,non,,non,non,non,non,non,non,non,non,non,non,,forage,,forage,,inf_quinze_min,oui,insuffisant,attente_nb_insuffisant,,,toilette_latrine_acceptable,,non,non,,non,existence_enseignant,,presque_aucun,moins_moitie,presque_aucun,plus_moitie,enregistrement_impossible,,non,,chef_religieux,,non,oui,,sante,secal,eha,,oui,Bruno,oui,,,,,,,75532783,6ce90665-6d60-43c7-bbac-2463cf57a01e,2019-11-24T17:01:51,,71
2019-11-20T11:16:52.656+01,2019-11-24T17:42:59.029+01,11/20/2019,3.56676E+14,,vakaga,birao,ridina,Tissi,vakaga,birao,ridina,tissi_1,,autre,refugie,autre,Je été renseignés par s'il qu,,,oui,,oui,dernier_mois,conflits_communautaire,,oui,oui,majorite,dernier_mois,oui,vakaga,birao,conflits_armes,,securite,,,oui,dernier_mois,oui,bamingui_bangoran,ndele,,oui,3_dernier_mois,oui,soudan,,assistance_humanitaire,,,oui,,,diminution_quantites,0,1,0,0,0,0,0,0,0,,strategie_survie_1,1,0,0,0,0,0,0,0,0,0,0,0,,non,,,oui,,oui,oui,non,non,,moitie,elevage,,dix_trente,non,insecurite,,oui,petit,oui,oui,,palu,,infection_respi,,conflit_arme,,non,maison,,maternite_non_fonctionnelle,oui,poste_sante,,demie_journee,insuffisant,medicament_indispo,,non,,oui,oui,non,violence_sexuelle,,recrutement_force,,violence_sexuelle,,separation_familiale,,oui,engagement_arme,,bonne,autorite_locale,,non,,aucun,,aucun,,aucun,,,non,non,non,non,non,non,non,non,non,,non,non,non,non,non,non,non,non,non,non,,source_non_amenagee,,source_non_amenagee,,inf_trente_min,oui,pas_suffisant,attente_nb_insuffisant,,,defecation_air_libre,,non,non,,non,existence_infra_scolaire,,presque_aucun,presque_aucun,presque_aucun,presque_aucun,enregistrement_impossible,,non,,chef_religieux,,non,non,,sante,secal,eha,,oui,Boniface,oui,,,,,,,75532802,ec055fb7-7586-4e0b-a5ba-cdc14e4dd8e4,2019-11-24T17:02:09,,72
2019-11-20T15:20:47.608+01,2019-11-24T17:43:15.414+01,11/20/2019,3.56676E+14,,vakaga,birao,ouandja,Vakaga moraye,vakaga,birao,ouandja,autre,Vakaga moraye,evaluation_presentielle,hote,habite_localite,,,,oui,,non,,,,non,non,,,,,,,,,,,non,,,,,,non,,,,,,,,non,destruction_inondation,,aliment_moins_chers,1,0,0,0,0,0,0,0,0,,strategie_survie_1,1,0,0,0,0,0,0,0,0,0,0,0,,non,,,non,,oui,oui,non,non,,majorite,peche_chasse,,inf_dix,non,inondation,,oui,petit,oui,non,,diarrhee,,palu,,maladie,,non,maison,,acces_physique,oui,poste_sante,,nsp,insuffisant,abs_travailleur_sante,,non,,non,non,non,violence_sexuelle,,mariage_force,,vol_betail,,travail_force,,non,,,,autorite_locale,,non,,nsp,,nsp,,aucun,,,non,non,non,non,non,non,oui,non,non,,non,non,non,oui,oui,non,non,non,oui,non,,riviere,,riviere,,inf_quinze_min,oui,insuffisant,distance,,,defecation_air_libre,,non,non,,non,manque_enseignant,,presque_aucun,moins_moitie,moins_moitie,moins_moitie,finances,,non,,chef_communaute,,non,non,,sante,education,secal,,oui,Justin,oui,,,,,,,75532818,c9d9fa27-ec48-43d4-96ea-d2aac1532676,2019-11-24T17:02:28,,73
2019-11-21T08:35:41.080+01,2019-11-24T17:43:31.560+01,11/21/2019,3.56676E+14,,vakaga,birao,ridina,Madja,vakaga,birao,ridina,madja,,evaluation_presentielle,hote,rencontre_localite,,,,oui,,oui,dernier_mois,conflits_communautaire,,non,non,,,,,,,,,,,non,,,,,,non,,,,,,,,oui,,,aliment_moins_chers,1,0,0,0,0,0,0,0,0,,strategie_survie_1,1,0,0,0,0,0,0,0,0,0,0,0,,non,,,non,,non,non,oui,non,,majorite,elevage,,trente_cinquante,oui,,,oui,petit,non,non,,palu,,palu,,nsp,,non,hopital,,,non,,,,pas_suffisant,abs_travailleur_sante,,non,,non,non,non,violence_sexuelle,,travail_force,,violence_sexuelle,,recrutement_force,,non,,,,autorite_locale,,non,,habitat_long_terme,,nsp,,nsp,,,oui,non,non,non,non,non,non,non,non,,oui,oui,oui,oui,oui,oui,non,oui,oui,non,,puit_non_protege,,puit_non_protege,,inf_quinze_min,oui,insuffisant,insuffisance_recipient,,,defecation_air_libre,,non,non,,non,existence_enseignant,,aucun,presque_aucun,aucun,presque_aucun,tradition_coutume,,non,,chef_communaute,,non,non,,sante,eha,secal,,oui,Moustapha,oui,,,,,,,75532834,79f54581-a9c3-4aad-b823-d97cf7784dad,2019-11-24T17:02:51,,74
2019-11-22T09:26:06.881+01,2019-11-24T17:43:49.598+01,11/22/2019,3.56676E+14,,vakaga,birao,ridina,Birao,vakaga,birao,ridina,cissi,,evaluation_ki,hote,habite_localite,,,,oui,,oui,dernier_mois,conflits_communautaire,,non,oui,minorite,dernier_mois,oui,vakaga,birao,conflits_communautaire,,famille,,,oui,dernier_mois,oui,vakaga,birao,,oui,dernier_mois,oui,soudan,,famille,,,non,destruction_combat,,aliment_moins_chers,1,0,0,0,0,0,0,0,0,,strategie_survie_1,1,0,0,0,0,0,0,0,0,0,0,0,,oui,non,oui,non,,oui,oui,oui,non,,majorite,peche_chasse,,dix_trente,oui,,,oui,petit,oui,non,,fievre,,palu,,conflit_arme,,oui,centre_sante,,,non,,,,pas_suffisant,nsp,,non,,non,non,non,violence_sexuelle,,recrutement_force,,violence_sexuelle,,recrutement_force,,non,,,bonne,autorite_locale,,non,,habitat_long_terme,,habitat_long_terme,,habitat_long_terme,,,oui,non,non,non,non,non,oui,non,non,,oui,oui,oui,oui,oui,oui,non,oui,oui,non,,puit_non_protege,,puit_non_protege,,inf_quinze_min,oui,pas_suffisant,distance,,,defecation_air_libre,,non,non,,oui,,,moins_moitie,moins_moitie,presque_aucun,presque_aucun,resultat_trop_faible,,non,,chef_communaute,,oui,oui,,sante,education,eha,,oui,Moustapha ramadan,oui,,,,,,,75532849,9df1a64d-367d-4aea-9c75-b12f5957a080,2019-11-24T17:03:10,,75
2019-11-22T10:19:10.159+01,2019-11-24T17:44:04.827+01,11/22/2019,3.56676E+14,,vakaga,birao,ridina,Birao,vakaga,birao,ridina,cissi,,evaluation_ki,hote,rencontre_localite,,,,oui,,oui,3_dernier_mois,conflits_communautaire,,oui,oui,minorite,dernier_mois,oui,vakaga,birao,conflits_communautaire,,famille,,,oui,dernier_mois,oui,vakaga,birao,,non,,,,,nsp,,,oui,,,aliment_moins_chers,1,0,0,0,0,0,0,0,0,,strategie_survie_1,1,0,0,0,0,0,0,0,0,0,0,0,,non,,,non,,oui,oui,oui,oui,,majorite,peche_chasse,,trente_cinquante,oui,,,oui,petit,oui,non,,diarrhee,,palu,,nsp,,non,hopital,,,oui,autre,Pas de poste santé,inf_demie_journee,pas_suffisant,qualite_soins,,non,,non,non,non,violence_sexuelle,,conflit_foncier,,violence_sexuelle,,recrutement_force,,non,,,bonne,autorite_locale,,non,,habitat_long_terme,,habitat_long_terme,,habitat_long_terme,,,oui,non,non,non,non,non,non,non,non,,oui,oui,oui,oui,oui,oui,non,oui,oui,non,,puit_non_protege,,puit_non_protege,,inf_quinze_min,non,pas_suffisant,attente_nb_insuffisant,,,defecation_air_libre,,non,non,,oui,,,presque_aucun,moins_moitie,presque_aucun,presque_aucun,finances,,non,,chef_communaute,,oui,oui,,education,sante,eha,,oui,Ramadan,oui,,,,,,,75532860,4b7cda4f-0069-41b0-bb3e-44ed8116a0cc,2019-11-24T17:03:30,,76
